,negative,positive,neutral,total
dca,14.401250483051754,2.8307127946979076,3.564903332326481,20.796866610076144
charge,17.251178922706757,1.0197789373280395,2.502744107542537,20.77370196757733
20,17.686557441860057,1.0008797922062824,2.0408331952520813,20.72827042931842
oh,9.927373248826816,5.309571447720828,5.419628326769915,20.65657302331756
offer,12.82665054114181,1.6655674459144145,6.157102471188432,20.649320458244656
ago,15.692861347984271,2.1392867688820645,2.6256845096344215,20.457832626500757
problems,12.922867975584225,2.1222412109289794,5.362558590572782,20.407667777085987
via,9.246927580097319,2.0436441383997175,9.112037507187086,20.402609225684124
status,12.498104318676939,2.365433385444746,5.5005925956899935,20.364130299811677
something,11.895434499170708,1.3598901554146565,7.102988750109911,20.358313404695277
terrible,19.63480407405308,0.2456612190649016,0.465977116334775,20.346442409452756
yesterday,14.72588238653902,1.4581758441991939,4.094498219275091,20.278556450013305
cancelled flight,17.001076195975976,0.6976564303273918,2.5503160038463553,20.249048630149723
flightled flight,18.44070904503655,1.152301622790879,0.6025087322973914,20.19551940012482
mean,13.270283826806457,1.6985625262553676,5.17690052968115,20.145746882742976
cancelled flightled flight,18.350706859897066,1.1543338254779338,0.6035713185513125,20.108612003926314
southwest,7.795706610196501,8.202612026150614,4.091518185662961,20.089836822010078
booking,12.19944177143736,2.52382381759355,5.362558590572782,20.08582417960369
over hour,19.65803736692998,0.38831275999614756,0.0,20.04635012692613
credit,13.525026125509788,1.1033348259037021,5.40996741557053,20.03832836698402
sorry,12.262190125123942,2.0291465751303344,5.628378393315064,19.91971509356934
name,8.765546098098776,2.8747127405529014,8.189217832401818,19.829476671053495
every,15.90990497518734,2.325651600545404,1.540626940677982,19.776183516410725
open,11.743852660705265,1.9401651921001426,6.035730975812475,19.71974882861788
stop,14.645623505233043,1.5435415648272448,3.489265354302159,19.678430424362446
contact,13.976028824138975,1.5206354475262975,4.152209188244066,19.64887345990934
booking problems,12.116792637397529,2.1331295233641505,5.390071586308316,19.639993747069994
employee,14.193920406933554,4.227354753170084,1.1130615275472981,19.534336687650935
kid,12.999379092939026,1.702466685957504,4.8017384327951245,19.503584211691653
frustrate,17.241952305855907,1.6826407169010396,0.4553338017425136,19.37992682449946
e_frown,15.567621493551895,0.8473146542205439,2.957496265142127,19.372432412914566
ap,13.12863226822968,3.2019568071547564,3.0251605460505573,19.355749621434995
